feature_index,feature_name,mean_shap_value,mean_abs_shap_value,std_shap_value,min_shap_value,max_shap_value
0,checking_status,-0.2706394175553824,0.27166207386926783,0.2605029817190227,-0.769025744468114,0.010518723615248525
1,duration,-0.03467624715677033,0.11465277500555045,0.1619586210986921,-0.434102406364396,0.2643947419599274
3,purpose,-0.061513536701414066,0.09526476635938151,0.10151384249688203,-0.22757109308214105,0.21763796152103418
4,credit_amount,-0.06550595484008548,0.07732232592298821,0.10795636970836707,-0.40659354766014627,0.09253655786616613
2,credit_history,0.011890614130024386,0.052077575788264385,0.09957925296679114,-0.4154985742895364,0.2547278094536149
15,existing_credits,0.023787095259281164,0.037200698263539576,0.03738454538218235,-0.07035157777320131,0.12016445290366069
13,other_payment_plans,-0.020332787727871185,0.03355118767007313,0.05329597719657235,-0.18813621209315243,0.12796271956144625
5,savings_status,0.022922485801090485,0.0319983689273033,0.046462089189452944,-0.03380772705862785,0.1841958386327521
11,property_magnitude,0.010378950705248097,0.031072659338272114,0.04895623226155951,-0.1569954568005342,0.11355312578306623
6,employment,0.017254091606393244,0.030434866925029693,0.04052608149017453,-0.07519016005980741,0.1422197655844356
7,installment_commitment,-0.007232904156797124,0.023061287853021088,0.030068229022582597,-0.10993762613994769,0.05619902151706511
14,housing,-0.00981757422581652,0.021249927904087106,0.03642056255061846,-0.13563846023677378,0.08223724485922632
9,other_parties,0.0034112149421459343,0.021154306024309618,0.04515746752386286,-0.1402879296189079,0.182677184730077
8,personal_status,-0.013662729185400626,0.019345551062586085,0.023953894451414753,-0.0891931133964037,0.061702330354143575
18,own_telephone,0.009523061535998552,0.01765815049128495,0.024972802444498957,-0.060096458062086536,0.07531586375288538
16,job,-0.009817926147376864,0.017237630864142674,0.02351609596054203,-0.08015397038875263,0.03915364906958476
12,age,-0.006090907989726732,0.01661011699655799,0.01975927576280399,-0.05733662989882562,0.04344188282908445
17,num_dependents,-0.006510003668952151,0.015935130410086696,0.02498225207810997,-0.09336895150742397,0.051792077466099894
10,residence_since,0.0034571345290220355,0.01249718528772572,0.016780652024528057,-0.038680878982425566,0.04822466195436178
19,foreign_worker,0.005350349834929238,0.011599734582728873,0.02710192852749862,-0.023970414390351982,0.1669864104250047
