feature_index,feature_name,mean_shap_value,mean_abs_shap_value,std_shap_value,min_shap_value,max_shap_value
7,chronic_disease,1973.926741771083,1975.3834262713294,2365.288453290677,-13.826019737655411,5323.84848270441
4,smoker,1886.0562672768076,1889.540673686034,3288.5940184791552,-15.046611237228907,8636.380934304612
2,bmi,25.141036763434922,725.6562389243657,866.6157127819704,-1473.8398999052506,1323.122606628754
6,exercise_frequency,-211.24785702763657,592.4823684871243,760.8823060180953,-1462.4221457059202,914.503148097951
0,age,128.29017708986675,573.2394239070024,669.7152612660121,-1209.659741379802,1263.4857075490163
3,children,-173.84740883241838,294.4249927991392,330.5476683101247,-813.2209021945179,436.6699866499931
5,region,60.2976774668383,63.12996714984439,58.944003368460244,-26.912734287534814,178.6004501244985
8,annual_income,12.996930237036185,37.22975544461462,43.72054967643312,-91.13569264244187,94.49628870565897
1,sex,14.953046520201921,17.992268235451444,25.826658766919884,-23.507636177680926,98.06030559095399
