feature_index,feature_name,mean_shap_value,mean_abs_shap_value,std_shap_value,min_shap_value,max_shap_value
7,chronic_disease,2179.787335482717,2182.304451442557,2231.5559763103106,-13.692381885488473,5210.640506399194
4,smoker,1799.258572017197,1799.9193129475798,2946.871506948446,-5.076917563371751,8588.026436470169
6,exercise_frequency,-189.9809581122655,502.2341492190909,727.7520529382709,-1351.135361301854,1030.487943706119
2,bmi,158.6312905335106,483.34853392598444,663.7163855075944,-1037.8233659700556,1477.1155397745556
0,age,78.36381483939496,340.18462174484955,492.1500074677691,-865.8979709969382,1128.205430270821
3,children,-70.74013249242446,163.12114002331904,231.80702125320428,-600.7239991459041,425.376418768908
5,region,85.12117583181194,97.3634492653959,118.06698489036407,-92.28875534905016,397.8355685883925
8,annual_income,59.1044095043354,64.3254296862673,67.8397795711541,-23.957471917914415,188.76022654566867
1,sex,-0.6566416726958129,23.281501648040933,31.280499984152545,-77.02152835281798,58.49397192543829
